USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 225696  9500 ?        Ss   11月04   0:08 /sbin/init splash
root       118  0.0  0.0      0     0 ?        SN   11月04   0:00 [ksmd]
root       119  0.0  0.0      0     0 ?        SN   11月04   0:00 [khugepaged]
root       120  0.0  0.0      0     0 ?        I<   11月04   0:00 [crypto]
root       121  0.0  0.0      0     0 ?        I<   11月04   0:00 [kintegrityd]
root       122  0.0  0.0      0     0 ?        I<   11月04   0:00 [kblockd]
root       127  0.0  0.0      0     0 ?        I<   11月04   0:00 [ata_sff]
root       128  0.0  0.0      0     0 ?        I<   11月04   0:00 [md]
root       129  0.0  0.0      0     0 ?        I<   11月04   0:00 [edac-poller]
root       130  0.0  0.0      0     0 ?        I<   11月04   0:00 [devfreq_wq]
root       131  0.0  0.0      0     0 ?        I<   11月04   0:00 [watchdogd]
root       135  0.0  0.0      0     0 ?        S    11月04   0:00 [kswapd0]
root       136  0.0  0.0      0     0 ?        S    11月04   0:00 [kswapd1]
root       137  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/u35:0]
root       138  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/u36:0]
root       139  0.0  0.0      0     0 ?        I<   11月04   0:00 [kworker/u37:0]
root       140  0.0  0.0      0     0 ?        S    11月04   0:00 [ecryptfs-kthrea]
root       182  0.0  0.0      0     0 ?        I<   11月04   0:00 [kthrotld]
root       190  0.0  0.0      0     0 ?        I<   11月04   0:00 [acpi_thermal_pm]
root       196  0.0  0.0      0     0 ?        I<   11月04   0:00 [ipv6_addrconf]
root       205  0.0  0.0      0     0 ?        I<   11月04   0:00 [kstrp]
root       226  0.0  0.0      0     0 ?        I<   11月04   0:00 [charger_manager]
root       306  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_0]
root       307  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_0]
root       310  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_1]
root       311  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_1]
root       312  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_2]
root       313  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_2]
root       314  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_3]
root       315  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_3]
root       316  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_4]
root       317  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_4]
root       318  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_5]
root       319  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_5]
root       320  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_6]
root       321  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_6]
root       326  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_7]
root       327  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_7]
root       328  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_8]
root       329  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_8]
root       330  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_9]
root       331  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_9]
root       332  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_10]
root       333  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_10]
root       334  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_11]
root       335  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_11]
root       336  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_12]
root       337  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_12]
root       338  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_13]
root       339  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_13]
root       340  0.0  0.0      0     0 ?        S    11月04   0:00 [scsi_eh_14]
root       341  0.0  0.0      0     0 ?        I<   11月04   0:00 [scsi_tmf_14]
linxp      346  2.5  4.9 43702408 4791712 pts/0 Sl+ 17:15   0:05 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
linxp      347  2.6  4.9 43699972 4789264 pts/0 Sl+ 17:15   0:06 python train.py --gpu_ids 1,2 --name PMS --batchsize 6*10 --erasing_p 0.4 --data_dir /home/linxp/datasets/person_reID_datasets/Competition/pytorch
